id,nome,tavolo,nomeTavolo
0111,Fulvio Modigliani,1,Amore
0112,Vittorio Montessori,3,Fiducia
0113,Rosario Lucarelli,7,Armonia
0114,Guido Pincherle,14,Abbraccio
0115,Francesca Panicucci,7,Armonia
0116,Livia Sommaruga,3,Fiducia
0117,Fiorino Spinelli,15,Dolcezza
0118,Fredo Sommaruga,1,Amore
0119,Lucio Toso,8,Complicità
0120,Fedele Navarria,9,Gratitudine
0121,Ottavio Capuana,13,Sorriso
0122,Antonia Basso,12,Felicità
0123,Hugo Asprucci,2,Pazienza
0124,Claudio Orsini,3,Fiducia
0125,Irma Travaglia,12,Felicità
0126,Guido Toselli,11,Tenerezza
0127,Melina Chittolini,2,Pazienza
0128,Edoardo Binaghi,4,Rispetto
0129,Laura Caetani,6,Serenità
0130,Saverio Tedesco,9,Gratitudine
0131,Girolamo Martinelli,3,Fiducia
0132,Giuliana Aldobrandi,13,Sorriso
0133,Luisa Antonacci,2,Pazienza
0134,Laura Gianetti,4,Rispetto
0135,Pietro Panatta,8,Complicità
0136,Giacomo Onio,9,Gratitudine
0137,Fabia Righi,10,Speranza
0138,Fausto Buonauro,10,Speranza
0139,Valentina Schiavone,2,Pazienza
0140,Luciana Zarlino,6,Serenità
0141,Torquato Vecoli,5,Gioia
0142,Fulvio Ludovisi,8,Complicità
0143,Romina Petruzzi,14,Abbraccio
0144,Michelotto Toso,13,Sorriso
0145,Amanda Depero,3,Fiducia
0146,Luisa Saragat,12,Felicità
0147,Hugo Maderno,1,Amore
0148,Maurizio Argenti,12,Felicità
0149,Giuseppina Carriera,12,Felicità
0150,Gaspare Paolucci,1,Amore
0151,Enrico Redi,14,Abbraccio
0152,Serena Brunello,3,Fiducia
0153,Cristina Albertini,15,Dolcezza
0154,Vittoria Paolini,15,Dolcezza
0155,Valerio Baresi,12,Felicità
0156,Alessandro Infantino,1,Amore
0157,Ruggero Curci,11,Tenerezza
0158,Filippo Lattuada,7,Armonia
0159,Greco Garrone,2,Pazienza
0160,Antonella Rosselli,3,Fiducia
0161,Annamaria Sabatini,4,Rispetto
0162,Domenico Bandello,7,Armonia
0163,Griselda Niggli,14,Abbraccio
0164,Orlando Schiaparelli,11,Tenerezza
0165,Ippazio Ughi,13,Sorriso
0166,Marisa Tartini,15,Dolcezza
0167,Ilaria Vecoli,11,Tenerezza
0168,Dolores Pastine,2,Pazienza
0169,Costantino Trussardi,6,Serenità
0170,Lucrezia Scarfoglio,1,Amore
0171,Vito Turci,11,Tenerezza
0172,Ignazio Botta,5,Gioia
0173,Monica Bonolis,14,Abbraccio
0174,Rosaria Favata,14,Abbraccio
0175,Fortunata Lombardo,3,Fiducia
0176,Greca Casadei,9,Gratitudine
0177,Luigina Pratesi,11,Tenerezza
0178,Fiorino Camicione,15,Dolcezza
0179,Donato Fusani,4,Rispetto
0180,Clelia Tarantino,14,Abbraccio
0181,Maria Cundari,13,Sorriso
0182,Sebastiano Caffarelli,10,Speranza
0183,Griselda Foconi,2,Pazienza
0184,Tullio Costalonga,2,Pazienza
0185,Cesare Bettin,2,Pazienza
0186,Adele Ponti,9,Gratitudine
0187,Annalisa Caccianemico,8,Complicità
0188,Adelmo Fornaciari,2,Pazienza
0189,Luigina Bixio,8,Complicità
0190,Rosina Innocenti,7,Armonia
0191,Sante Iacovelli,8,Complicità
0192,Serena Stradivari,7,Armonia
0193,Gelsomina Ludovisi,8,Complicità
0194,Fabia Barbarigo,9,Gratitudine
0195,Luigina Mascagni,7,Armonia
0196,Jacopo Matteotti,6,Serenità
0197,Gioffre Salieri,5,Gioia
0198,Piersanti Mannoia,9,Gratitudine
0199,Fabia Zoppetti,1,Amore
0200,Micheletto Anguissola,1,Amore
0201,Lucio Lanfranchi,13,Sorriso
0202,Costanzo Bevilacqua,10,Speranza
0203,Ettore Scarpetta,7,Armonia
0204,Riccardo Fioravanti,11,Tenerezza
0205,Rosalia Monaco,10,Speranza
0206,Natalia Trupiano,9,Gratitudine
0207,Lazzaro Micheletti,5,Gioia
0208,Delfino Zaccardo,14,Abbraccio
0209,Luchino Cagnin,2,Pazienza
0210,Marta Barracco,10,Speranza
0211,Fiorenzo Canetta,8,Complicità
0212,Augusto Farnese,9,Gratitudine
0213,Claudio Bertolucci,15,Dolcezza
0214,Anita Calvo,10,Speranza
0215,Ubaldo Luzi,12,Felicità
0216,Tiziano Jilani,11,Tenerezza
0217,Maurilio Canova,6,Serenità
0218,Gioachino Foa,14,Abbraccio
0219,Laureano Dalla,7,Armonia
0220,Tiziana Cilea,10,Speranza
0221,Antonello Geraci,4,Rispetto
0222,Melissa Michelangeli,4,Rispetto
0223,Arsenio Battelli,9,Gratitudine
0224,Matteo Civaschi,6,Serenità
0225,Piersanti Paolini,14,Abbraccio
0226,Fernanda Sibilia,4,Rispetto
0227,Osvaldo Mantegazza,1,Amore
0228,Paoletta Morandini,15,Dolcezza
0229,Giuliana Mimun,11,Tenerezza
0230,Giampaolo Chindamo,13,Sorriso
0231,Umberto Virgilio,3,Fiducia
0232,Costantino Agazzi,5,Gioia
0233,Loredana Sobrero,5,Gioia
0234,Torquato Pacetti,2,Pazienza
0235,Nicoletta Panatta,6,Serenità
0236,Lucrezia Infantino,1,Amore
0237,Gemma Rizzoli,15,Dolcezza
0238,Nadia Sgarbi,10,Speranza
0239,Nadia Carullo,4,Rispetto
0240,Gastone Pistoletto,3,Fiducia
0241,Simonetta Columbo,15,Dolcezza
0242,Antonino Vento,3,Fiducia
0243,Ernesto Trobbiani,8,Complicità
0244,Donatella Rismondo,13,Sorriso
0245,Benito Morucci,4,Rispetto
0246,Giacomo Alfonsi,15,Dolcezza
0247,Dante Bosio,10,Speranza
0248,Pomponio Montanelli,12,Felicità
0249,Luisa Accardo,12,Felicità
0250,Letizia Brambilla,5,Gioia
0251,Barbara Callegari,14,Abbraccio
0252,Sonia Cafarchia,5,Gioia
0253,Saverio Scalfaro,3,Fiducia
0254,Serena Cerquiglini,10,Speranza
0255,Ronaldo Barracco,11,Tenerezza
0256,Lilla Chittolini,11,Tenerezza
0257,Dolores Marenzio,6,Serenità
0258,Ottavio Vigorelli,14,Abbraccio
0259,Oreste Abba,2,Pazienza
0260,Aurora Antonucci,11,Tenerezza
0261,Emilio Finetti,14,Abbraccio
0262,Nicola Ammaniti,13,Sorriso
0263,Dina Porcellato,2,Pazienza
0264,Ludovico Gilardoni,8,Complicità
0265,Baccio Vismara,6,Serenità
0266,Telemaco Pinamonte,7,Armonia
0267,Alessio Cibin,15,Dolcezza
0268,Rosaria Goldstein,14,Abbraccio
0269,Gemma Lupo,5,Gioia
0270,Piermaria Sagredo,9,Gratitudine
0271,Mauro Serao,7,Armonia
0272,Gioacchino Mascagni,1,Amore
0273,Vito Mozart,6,Serenità
0274,Ilaria Borsellino,15,Dolcezza
0275,Laura Grasso,9,Gratitudine
0276,Caterina Donarelli,14,Abbraccio
0277,Beppe Ponti,8,Complicità
0278,Liliana Seddio,7,Armonia
0279,Ermes Platini,8,Complicità
0280,Daniele Modugno,7,Armonia
0281,Nina Marinetti,8,Complicità
0282,Laura Marsili,9,Gratitudine
0283,Elmo Collodi,13,Sorriso
0284,Arnulfo Brunelleschi,3,Fiducia
0285,Nicoletta Civaschi,13,Sorriso
0286,Arnulfo Mastandrea,14,Abbraccio
0287,Lorenzo Toso,8,Complicità
0288,Luca Cendron,1,Amore
0289,Lara Trotta,15,Dolcezza
0290,Ansaldo Varano,6,Serenità
0291,Raffaele Binaghi,6,Serenità
0292,Milo Opizzi,9,Gratitudine
0293,Sante Faranda,13,Sorriso
0294,Amadeo Calvo,15,Dolcezza
0295,Stefani Giolitti,2,Pazienza
0296,Uberto Zaccagnini,8,Complicità
0297,Gilberto Bartoli,8,Complicità
0298,Fabrizio Spanevello,11,Tenerezza
0299,Mario Lombardo,13,Sorriso
0300,Lauretta Comisso,11,Tenerezza
0301,Ronaldo Bettoni,12,Felicità
0302,Maria Scarpetta,13,Sorriso
0303,Carmelo Caetani,7,Armonia
0304,Mariana Silvestri,10,Speranza
0305,Concetta Maderna,8,Complicità
0306,Maurizio Dellucci,13,Sorriso
0307,Susanna Tremonti,8,Complicità
0308,Luciano Grossi,1,Amore
0309,Allegra Pisacane,2,Pazienza
0310,Monica Petrassi,14,Abbraccio
0311,Rodolfo Gozzi,2,Pazienza
0312,Benvenuto Guidotti,3,Fiducia
0313,Virgilio Righi,12,Felicità
0314,Rocco Pagnotto,9,Gratitudine
0315,Alberico Bembo,15,Dolcezza
0316,Rossana Franscini,6,Serenità
0317,Giuseppina Tacchini,11,Tenerezza
0318,Elisa Stefanelli,4,Rispetto
0319,Agostino Mondaini,15,Dolcezza
0320,Paride Fermi,1,Amore
0321,Alessia Rensi,5,Gioia
0322,Angelo Collodi,12,Felicità
0323,Liliana Vigorelli,10,Speranza
0324,Raffaele Anastasi,15,Dolcezza
0325,Virginia Treccani,13,Sorriso
0326,Lina Scandone,1,Amore
0327,Flavio Paolini,10,Speranza
0328,Cecilia Mannoia,9,Gratitudine
0329,Monica Pizzetti,10,Speranza
0330,Marco Quasimodo,4,Rispetto
0331,Pierangelo Tutino,2,Pazienza
0332,Massimo Carfagna,8,Complicità
0333,Patrizio Papetti,9,Gratitudine
0334,Bianca Prada,15,Dolcezza
0335,Napoleone Basso,11,Tenerezza
0336,Antonella Cerquiglini,11,Tenerezza
0337,Raffaellino Bragaglia,12,Felicità
0338,Lodovico Tonisto,14,Abbraccio
0339,Lando Ricciardi,5,Gioia
0340,Rodolfo Infantino,5,Gioia
0341,Nico Natta,5,Gioia
0342,Germana Sauli,9,Gratitudine
0343,Silvio Bosio,15,Dolcezza
0344,Pierina Morabito,12,Felicità
0345,Federica Falloppio,9,Gratitudine
0346,Giovanni Marino,15,Dolcezza
0347,Gianfrancesco Ciani,2,Pazienza
0348,Ezio Biagiotti,10,Speranza
0349,Melania Briccialdi,6,Serenità
0350,Griselda Petrocelli,3,Fiducia
0351,Concetta Antonelli,9,Gratitudine
0352,Bianca Querini,6,Serenità
0353,Ugolino Odescalchi,10,Speranza
0354,Angelo Salgari,7,Armonia
0355,Etta Boito,13,Sorriso
0356,Sophia Pugliese,1,Amore
0357,Bianca Druso,2,Pazienza
0358,Melina Fioravanti,1,Amore
0359,Gustavo Brambilla,4,Rispetto
0360,Costanzo Marenzio,5,Gioia
0361,Antonia Navarria,4,Rispetto
0362,Angelo Musatti,13,Sorriso
0363,Giorgio Sollima,6,Serenità
0364,Cristina Celentano,11,Tenerezza
0365,Claudia Zola,5,Gioia
0366,Pierangelo Guarato,11,Tenerezza
0367,Giovanni Fornaciari,9,Gratitudine
0368,Nino Spinelli,6,Serenità
0369,Adele Mazzi,6,Serenità
0370,Ruggiero Castellitto,12,Felicità
0371,Rosario Pincherle,1,Amore
0372,Ugo Ortese,6,Serenità
0373,Luca Milanesi,7,Armonia
0374,Adelmo Toso,8,Complicità
0375,Maria Pigafetta,4,Rispetto
0376,Ida Antonelli,13,Sorriso
0377,Federica Bruscantini,3,Fiducia
0378,Venancio Delle,3,Fiducia
0379,Piersanti Prodi,12,Felicità
0380,Renata Martucci,8,Complicità
0381,Ciro Palumbo,2,Pazienza
0382,Ugo Nadi,1,Amore
0383,Gaspare Antonioni,15,Dolcezza
0384,Rosario Solimena,10,Speranza
0385,Claudio Gremese,5,Gioia
0386,Romeo Pellico,2,Pazienza
0387,Viridiana Chindamo,7,Armonia
0388,Annunziata Celentano,11,Tenerezza
0389,Santino Anguillara,13,Sorriso
0390,Cassandra Rizzoli,11,Tenerezza
0391,Orazio Abbagnale,14,Abbraccio
0392,Rolando Moneta,8,Complicità
0393,Romina Mennea,4,Rispetto
0394,Puccio Campanella,9,Gratitudine
0395,Martina Abatantuono,3,Fiducia
0396,Giada Viola,7,Armonia
0397,Donatello Ricolfi,11,Tenerezza
0398,Caterina Ferrari,14,Abbraccio
0399,Silvia Gianvecchio,2,Pazienza
0400,Annalisa Bataglia,3,Fiducia
